Push	штуршок
quotations	вытрымкі
quotation	вытрымка
quoted text	вытрымка
radio	радыёсувязь
range	досяг -у
rating	ацэнка
reader	чытальнік
reason	падстава
reboot	запускаць нанова
recent	нядаўні
recipient	атрымальнік -а
recognizer	пазнавальнік
refreshing	абнаўляецца
registered	запісаліся
registering	запісвацца
register	запісвацца
regulatory domain	абсяг паўнамоцтваў
release	выпуск
reminders	напаміны
reminder	напамін
remotely	адлегла
remote	адлеглы
removable	рухомы
removed	выцягнулі
removed	прыбралі
removed	прымаць
removed	сьцерлі
remove	выкрасьляць
remove	вымаць
remove	выцягваць
remove	зьнішчаць
removing	сьціраць
rename	назваць
Reply all	«Адказаць усім»
report abuse	скардзіцца
reserve	замаўляць
resetting	узнаўляецца
reset	узнаўляць
resolution	разрозьненьне
resolved	высьветлілі
resolve	высьвятляць
resources	запасы
resources	крыніцы
resource	запас
resource	крыніца
restart	запускаць нанова
restored	аднавілі
restore	аднаўляць
restoring	аднаўляюцца
restricted	абмяжоўваецца
restricted	забаронены
reviews	водгукі
review	водгук
ringtone	гук выкліку
ringtone	мэлёдыя
Rocket Launcher	ракетніца
rotary	дуга
rotate left	павярніце налева
rotate right	павярніце направа
route	шлях
routing	маршрутаваньне
rows	радкі
SafeSearch	Бясьпечны пошук
saturation	насычанасьць
scanning	аглядаем
scan	шукаць
Screen security	Абарона экрану
screenshot	здымак экрану
screen timeout	час чаканьня экрану
screen	экран -у
scripts	скрыпты
scrollable	пракручвальны
SD card	картка SD
search engine	шукач
secondary	дапаможны
secret	таямніца
select text	выбраць тэкст
sender	адпраўнік
sensor	чуйнік
server	паслужнік
server	паслужнік -а
Service Dialing Numbers	службовыя нумары
services	службы
service	служба
session	сэанс
settings	налады
setting up	уладкоўваць
setting	налады
set up	уладкоўваць
setup	уладкоўваць
set wallpaper	усталяваць шпалеры
sex	плоць
shared	абагуленае (сховішча)
shared	супольны
share	дзяліцца
sharpness	выразнасьць
sharpness	рэзкасьць
shell	абалонка
shortcuts	выклічнікі
shortcut	выклічнік
show previews	аглядацца
shuffle	мяшаць
shutter	затвор -а
Sign in	Увайсьці
sign up	запісацца
silent mode	бязгучны стан
SIM card	картка SIM
site	пляцоўка
sliders	гузікі
slideshow	паказваць слайды
slide	слайд -у
slide	ссоўваць
sliding	высоўны
SMS messages	паведамленьні SMS
snooze	адкладаць
Social Club	таварыскі клюб
social	грамадзкі
sockets	гнёзды
soft-buttons	праґрамныя кнопкі
soft keyboard	праґрамная клявіятура
software	праґрамныя сродкі
solarize	перасьвятляць
song	песьня
sorry	выбачайце
sorted	упарадкавалі
spacebar	прагал
space	прастора
spam	лухта
speaker	галосьнік
specify	пазначаць
speech synthesis	агучваньне
spell checker	правапісьнік
SSID	азначальнік сеткі
starred	адзначаны
star	зорачка
status bar	паліца стану
statusbar	паліца стану
status message	апісаньне стану
status	стан
